,itemid,transactionid,productid
0,1,1,55
1,2,1,61
2,3,1,15
3,4,1,15
4,5,1,38
5,6,1,38
6,7,1,68
7,9,1,71
8,12,1,72
9,16,1,71
10,17,1,5001
11,18,1,5001
12,19,1,5001
13,20,1,5002
14,21,2,60
15,22,2,57
16,23,2,58
17,24,2,61
18,25,2,40
19,26,2,68
20,27,2,71
21,29,2,72
22,30,2,5001
23,31,2,5001
24,32,3,37
25,33,3,38
26,34,3,39
27,35,3,72
28,36,3,29
29,37,4,68
30,38,4,67
31,39,4,28
32,40,4,5002
33,41,4,5002
34,42,5,47
35,43,5,44
36,44,5,55
37,45,5,61
38,46,5,28
39,47,5,68
40,52,5,71
41,57,5,39
42,63,5,68
43,64,5,5001
44,65,5,5001
45,66,5,5001
46,67,5,5001
47,68,5,5001
48,69,6,66
49,70,6,71
50,71,6,70
51,72,6,56
52,73,6,58
53,74,6,61
54,75,6,60
55,76,6,7
56,78,6,72
57,79,6,5001
58,80,7,65
59,81,7,71
60,82,7,68
61,83,7,69
62,84,7,12
63,86,7,8
64,88,7,56
65,91,7,57
66,94,7,58
67,97,7,61
68,100,7,60
69,103,7,61
70,106,7,61
71,107,7,5001
72,108,7,5001
73,109,8,62
74,110,8,60
75,111,8,57
76,112,8,58
77,113,8,61
78,114,8,64
79,115,8,63
80,116,8,42
81,117,8,38
82,118,8,39
83,119,8,38
84,120,8,39
85,121,8,38
86,122,8,12
87,123,8,8
88,124,8,3
89,125,8,3
90,126,8,67
91,128,8,69
92,131,8,69
93,135,8,65
94,140,8,70
95,141,8,5001
96,142,8,5001
97,143,8,5001
98,144,8,5001
99,145,8,5002
100,146,9,59
101,147,9,60
102,148,9,61
103,149,9,64
104,150,9,63
105,151,9,55
106,152,9,55
107,153,9,40
108,154,9,38
109,155,9,40
110,156,9,40
111,157,9,41
112,158,9,65
113,160,9,15
114,162,9,67
115,163,9,5001
116,164,9,5002
117,165,9,5002
118,166,9,5002
119,167,9,5002
120,168,9,5002
121,169,10,1
122,170,10,2
123,171,10,3
124,172,10,8
125,173,10,71
126,174,10,37
127,175,10,72
128,176,10,72
129,177,10,65
130,178,10,54
131,180,10,55
132,183,10,55
133,187,10,58
134,188,10,5001
135,189,10,5001
136,190,10,5001
137,191,10,5001
138,192,11,63
139,193,11,63
140,194,11,60
141,195,11,52
142,196,11,51
143,197,11,52
144,198,11,50
145,199,11,64
146,200,11,64
147,201,11,42
148,202,11,38
149,203,11,42
150,204,11,42
151,205,11,39
152,206,11,39
153,207,11,39
154,208,11,37
155,209,11,43
156,210,11,43
157,211,11,16
158,212,11,3
159,213,11,29
160,214,11,68
161,215,11,5002
162,216,11,5002
163,217,12,72
164,218,12,65
165,219,12,72
166,220,12,72
167,221,12,68
168,222,12,45
169,223,12,44
170,224,12,47
171,225,12,47
172,226,12,60
173,227,12,60
174,228,12,58
175,229,12,58
176,230,12,2
177,231,12,5001
178,232,12,5001
179,233,12,5001
180,234,12,5001
181,235,12,5002
182,236,13,59
183,237,13,60
184,238,13,61
185,239,13,38
186,240,14,38
187,241,14,37
188,242,14,37
189,243,14,15
190,244,14,55
191,245,14,58
192,246,14,70
193,247,14,5001
194,248,15,67
195,249,15,68
196,250,15,72
197,251,15,38
198,252,15,38
199,253,15,9
200,255,15,60
201,258,15,60
202,261,15,55
203,262,15,5001
204,263,15,5002
